Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,URL
369000.0,7165.0,60419853,11,3,5.0,51.5,https://www.otodom.pl/oferta/mieszkanie-przy-grabiszynskiej-ID45wXL.html#02f510e6c7
398000.0,10474.0,60476743,6,2,3.0,38.0,https://www.otodom.pl/oferta/srodmiescie-lux-2018-winda-balkon-ID45KLl.html#02f510e6c7
452949.0,8446.0,60476757,3,3,3.0,53.63,https://www.otodom.pl/oferta/oszczedzasz-80-269-zl-smart-premium-w-cenie-ID45KLz.html#02f510e6c7
476000.0,6800.0,60464768,4,2,4.0,70.0,https://www.otodom.pl/oferta/centrum-kamienica-biznes-z-2-pok-max5-rzuty-ID45HEc.html#02f510e6c7
460237.0,8420.0,60474283,6,3,6.0,54.66,https://www.otodom.pl/oferta/blisko-centrum-3-pokoje-gabinet-iv-q-2020-ID45K7F.html#02f510e6c7
424000.0,8222.0,60473425,Brak danych,3,3.0,51.57,https://www.otodom.pl/oferta/blisko-rzeki-gotowa-inwestycja-2msc-w-garazu-free-ID45JTP.html#02f510e6c7
395000.0,7745.0,60464766,10,2,3.0,51.0,https://www.otodom.pl/oferta/mieszkanie-2-pok-swieze-wyposazone-nowy-dwor-ID45HEa.html#02f510e6c7
717000.0,10486.0,60453210,6,3,1.0,68.38,https://www.otodom.pl/oferta/przy-ostrowie-tumskim-ul-wyszynskiego-41-43-ID45EDM.html#02f510e6c7
299000.0,8957.0,60476823,4,2,3.0,33.38,https://www.otodom.pl/oferta/mieszkanie-33-38-m-wroclaw-ID45KMD.html#02f510e6c7
329000.0,7000.0,60473227,4,3,4.0,47.0,https://www.otodom.pl/oferta/3-pokoje-jak-za-2-garaz-smart-home-w-cenie-ID45JQD.html#02f510e6c7
314999.0,6069.0,60444499,2,3,Brak danych,51.9,https://www.otodom.pl/oferta/ostatnia-sztuka-maslice-taras-ogrod-garaz-ID45Cnh.html#02f510e6c7
527000.0,9962.0,59320642,2,2,Brak danych,52.9,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-park-grabiszynski-raclawicka-ID40U0y.html#02f510e6c7
335000.0,8358.0,60409140,5,2,2.0,40.08,https://www.otodom.pl/oferta/2009-gotowe-do-wejscia-od-zaraz-dobra-cena-ID45taY.html#02f510e6c7
375000.0,8333.0,60455068,3,2,1.0,45.0,https://www.otodom.pl/oferta/nowe-wykonczone-garaz-zielony-taras-bez-pcc-ID45F7K.html#02f510e6c7
704000.0,11000.0,60476644,3,3,1.0,64.0,https://www.otodom.pl/oferta/3-pok-srodmiescie-olbin-plac-grunwaldzki-ID45KJK.html#02f510e6c7
489000.0,6699.0,60476849,4,3,1.0,73.0,https://www.otodom.pl/oferta/3-pok-z-balkonem-wroclaw-nadoodrze-ID45KN3.html#02f510e6c7
530014.0,8550.0,60474161,6,3,Brak danych,61.99,https://www.otodom.pl/oferta/ogrodek-az-90m2-20-min-spacerem-na-rynek-ivq20-ID45K5H.html#02f510e6c7
550000.0,8730.0,60429319,10,3,8.0,63.0,https://www.otodom.pl/oferta/mieszkanie-3-pok-63m2-biskupin-ID45yqr.html#02f510e6c7
449000.0,6803.0,60462965,2,3,Brak danych,66.0,https://www.otodom.pl/oferta/lipa-piotr-bazyliowa-66m2-2-tarasy-3-pokoje-ID45Hb7.html#02f510e6c7
659000.0,12673.0,60432108,5,2,1.0,52.0,https://www.otodom.pl/oferta/wyjatkowe-2-pok-z-tarasem-blisko-centrum-bez-pcc-ID45z9q.html#02f510e6c7
350000.0,8140.0,60455073,3,2,Brak danych,43.0,https://www.otodom.pl/oferta/nowe-wykonczone-garaz-ogrodek-taras-bez-pcc-ID45F7P.html#02f510e6c7
494900.0,7070.0,60464763,3,3,3.0,70.0,https://www.otodom.pl/oferta/sienkiewicza-m-3-pok-extra-cena-miejsce-biznes-ID45HE7.html#02f510e6c7
529000.0,7149.0,60476736,4,2,Brak danych,74.0,https://www.otodom.pl/oferta/okolice-ul-lakowej-ID45KLe.html#02f510e6c7
511927.0,9950.0,60473939,Brak danych,2,4.0,51.45,https://www.otodom.pl/oferta/taras-43-3m2-gotowe-za-2m-ce-10-min-od-centrum-ID45K27.html#02f510e6c7
293000.0,5416.0,60433337,3,3,1.0,54.1,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-ID45ztf.html#02f510e6c7
349000.0,7756.0,60404238,3,2,2.0,45.0,https://www.otodom.pl/oferta/klucze-w-biurze-pelny-rozklad-osobna-kuchnia-ID45rTU.html#02f510e6c7
1166742.0,10150.0,60474044,6,4,6.0,114.95,https://www.otodom.pl/oferta/115m2-w-jednym-poziomie-sloneczny-taras-az-32m2-ID45K3O.html#02f510e6c7
344990.0,9103.0,60476670,10,2,3.0,37.9,https://www.otodom.pl/oferta/perelka-apartament-lux-grabiszyn-2-pokoje-rozklad-ID45KKa.html#02f510e6c7
365000.0,7157.0,60476828,4,3,3.0,51.0,https://www.otodom.pl/oferta/funkcjonalne-3-pokoje-inflancka-do-zamieszkania-ID45KMI.html#02f510e6c7
585000.0,8125.0,58810700,3,4,3.0,72.0,https://www.otodom.pl/oferta/mieszkanie-72m-4-pokoje-lipa-piotrowska-wroclaw-ID3YLlG.html#02f510e6c7
365083.0,6440.0,60474515,4,3,2.0,56.69,https://www.otodom.pl/oferta/klasyczne-3-pokoje-z-balkonem-tylko-6440zl-m2-ID45Kbp.html#02f510e6c7
1596500.0,11410.0,60474666,5,5,5.0,139.92,https://www.otodom.pl/oferta/centrum-2-poziomy-2-tarasy-odbior-za-2-m-ce-ID45KdQ.html#02f510e6c7
710000.0,7553.0,60476598,2,3,1.0,94.0,https://www.otodom.pl/oferta/piekne-mieszkanie-z-ogrodem-ID45KJ0.html#02f510e6c7
2117215.0,11175.0,60474568,Brak danych,5,7.0,189.46,https://www.otodom.pl/oferta/luksusowy-apartament-z-pieknym-widokiem-na-odre-ID45Kcg.html#02f510e6c7
461177.0,5980.0,60474548,4,4,1.0,77.12,https://www.otodom.pl/oferta/4-pokoje-garderoba-sloneczne-tylko-5980zl-m2-ID45KbV.html#02f510e6c7
720000.0,4932.0,59971657,2,5,1.0,146.0,https://www.otodom.pl/oferta/nowe-mieszkanie-wojszyce-146-m2-ID43DmN.html#02f510e6c7
396325.0,7429.0,60476462,4,3,1.0,53.35,https://www.otodom.pl/oferta/krzykiz-aktem-not-ustawnegotowedobry-standard-ID45KGO.html#02f510e6c7
393455.0,9785.0,60452600,8,2,7.0,40.21,https://www.otodom.pl/oferta/nowoczesne-2pok-lux-0-pcc-dobra-inwestycja-ID45EtV.html#02f510e6c7
397584.0,9900.0,60474768,Brak danych,2,5.0,40.16,https://www.otodom.pl/oferta/dwie-kawalerki-w-jednym-w-sercu-srodmiescia-ID45Kfu.html#02f510e6c7
