Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,Rynek,Strefa,URL
1184155.0,11500.0,60523817,2,4,2.0,102.97,pierwotny,Śródmieście,https://www.otodom.pl/oferta/apartament-z-tarasem-z-pieknym-widokiem-na-odre-ID45X0B.html#02f510e6c7
840000.0,9231.0,60508427,4,4,4.0,91.0,wtorny,Krzyki,https://www.otodom.pl/oferta/4-kawalerki-top-lokalizacja-gotowiec-inwestycyjny-ID45T0n.html#02f510e6c7
380000.0,7241.0,60439318,3,2,2.0,52.48,wtorny,Fabryczna,https://www.otodom.pl/oferta/mieszkanie-z-klimatem-wroclaw-fiolkowa-52-5-m2-ID45B1I.html#02f510e6c7
375000.0,8333.0,60533208,3,2,,45.0,wtorny,Krzyki,https://www.otodom.pl/oferta/nowe-wykonczone-garaz-zielony-taras-bez-pcc-ID45Zs4.html#02f510e6c7
390000.0,9112.0,60533649,2,2,2.0,42.8,wtorny,dolnośląskie,https://www.otodom.pl/oferta/mieszkanie-lux-ogrodek-lux-42m2-taras-garaz-ID45Zzb.html#02f510e6c7
508999.0,9171.0,60533648,4,3,1.0,55.5,wtorny,dolnośląskie,https://www.otodom.pl/oferta/perelka-lux-borek-3-pokoje-lux-ID45Zza.html#02f510e6c7
415900.0,10269.0,60533827,4,2,,40.5,wtorny,Krzyki,https://www.otodom.pl/oferta/apartament-na-prestizowym-osiedlu-lux-0-prowizji-ID45ZC3.html#02f510e6c7
587000.0,9317.0,60527998,4,3,4.0,63.0,wtorny,Śródmieście,https://www.otodom.pl/oferta/gotowiec-inwestycyjny-3-mieszkania-w-pakiecie-ID45Y62.html#02f510e6c7
720000.0,6486.0,60266144,4,6,3.0,111.0,wtorny,Fabryczna,https://www.otodom.pl/oferta/wroclaw-zerniki-mieszkanie-dwupoziomowe-ID44RYA.html#02f510e6c7
389000.0,7564.0,60493909,3,3,1.0,51.43,wtorny,Krzyki,https://www.otodom.pl/oferta/3-pokojowe-z-ogrodkiem-gotowe-do-wprowadzenia-sie-ID45Ped.html#02f510e6c7
435001.0,6541.0,60533650,2,3,,66.5,wtorny,dolnośląskie,https://www.otodom.pl/oferta/nowa-cena-bazyliowa-66m2-2-tarasy-3-poko-ID45Zzc.html#02f510e6c7
558956.0,8790.0,60529698,6,3,5.0,63.59,pierwotny,Śródmieście,https://www.otodom.pl/oferta/sloneczne-3-pokoje-z-balkonem-10m2-na-srodmiesciu-ID45Yxs.html#02f510e6c7
365000.0,7604.0,60533729,10,2,7.0,48.0,wtorny,Psie Pole,https://www.otodom.pl/oferta/mieszkanie-48-m2-ul-rowerowa-ID45ZAt.html#02f510e6c7
259000.0,8633.0,60533857,2,2,,30.0,pierwotny,Fabryczna,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-wroclaw-maslice-nowe-ID45ZCx.html#02f510e6c7
399489.0,8464.0,60528240,6,3,2.0,56.82,pierwotny,Śródmieście,https://www.otodom.pl/oferta/srodmiescie-sloneczne-3-pokoje-z-balkonem-7-11m2-ID45Yrn.html#02f510e6c7
575824.0,10134.0,60529321,5,2,1.0,47.2,pierwotny,Psie Pole,https://www.otodom.pl/oferta/osiedle-nad-odra-2-pokoje-teraz-taniej-o-32-400-ID45Y9V.html#02f510e6c7
308999.0,9809.0,60533647,10,2,6.0,31.5,wtorny,dolnośląskie,https://www.otodom.pl/oferta/perelka-tanio-aparatement-ok-rondo-sky-tower-ID45Zz9.html#02f510e6c7
456808.0,8562.0,60529482,3,3,2.0,53.35,pierwotny,Krzyki,https://www.otodom.pl/oferta/3-pokoje-przy-parku-tramwaje-system-smart-ID45YtY.html#02f510e6c7
435289.0,9550.0,60529565,6,2,1.0,45.58,pierwotny,Śródmieście,https://www.otodom.pl/oferta/sloneczne-2-pokoje-spacerem-na-rynek-ID45Ywj.html#02f510e6c7
448116.0,7290.0,60525481,3,3,1.0,61.47,pierwotny,Fabryczna,https://www.otodom.pl/oferta/sloneczne-3pokoje-z-balkonem-12-5m2-system-smart-ID45Xrr.html#02f510e6c7
348876.0,6583.0,60528985,4,3,3.0,53.0,pierwotny,Fabryczna,https://www.otodom.pl/oferta/wrocilo-gotowe-3-pokoje-z-rabatem-az-21-594-pln-ID45YlX.html#02f510e6c7
119500.0,3983.0,60242458,3,1,,30.0,wtorny,dolnośląskie,https://www.otodom.pl/oferta/odstapie-mieszkanie-po-remoncie-tbs-zielna-ID44LOy.html#02f510e6c7
309900.0,14321.0,60508312,4,1,4.0,21.64,wtorny,Krzyki,https://www.otodom.pl/oferta/kawalerka-wroclaw-kosciuszki-rynek-bez-prowizji-ID45SYv.html#02f510e6c7
