Cena,Cena_za_metr,Id,Rynek,Strefa,Powierzchnia,Liczba pokoi,Liczba pięter,Piętro,URL
659000.0,12673.0,60581119,wtorny,Małopanewska,52.0,2,5,1.0,https://www.otodom.pl/oferta/2-pok-lux-klima-taras-blisko-centrum-bez-pcc-ID46bUP.html#02f510e6c7
328000.0,9316.0,60584997,pierwotny,Psie Pole,35.21,2,2,,https://www.otodom.pl/oferta/sloneczne-2-pokoje-z-ogrodkiem-az-130-m2-ID46cWn.html#02f510e6c7
699000.0,10922.0,60586765,wtorny,Śródmieście,64.0,3,,1.0,https://www.otodom.pl/oferta/piekne-mieszkanie-3-pokojowe-srodmiescie-ID46dnT.html#02f510e6c7
300000.0,7692.0,60555057,pierwotny,Krzyki,39.0,2,,,https://www.otodom.pl/oferta/ogrodek-34m2-poludnie-wro-6-miesiecy-gotowe-ID4658t.html#02f510e6c7
319000.0,8861.0,60095024,wtorny,dolnośląskie,36.0,2,4,3.0,https://www.otodom.pl/oferta/2-pokoje-balkon-piwnica-ul-kasztelanska-36m-ID449sA.html#02f510e6c7
682900.0,10817.0,60546890,pierwotny,Śródmieście,63.13,3,8,4.0,https://www.otodom.pl/oferta/widok-na-rzeke-duzy-balkon-scisle-centrum-ID4630K.html#02f510e6c7
432000.0,6681.0,60498440,pierwotny,Krzyki,64.66,3,3,1.0,https://www.otodom.pl/oferta/gotowe-600m-tramwaj-15min-galeria-dominikanska-ID45Qpi.html#02f510e6c7
119500.0,3983.0,60242458,wtorny,dolnośląskie,30.0,1,3,,https://www.otodom.pl/oferta/odstapie-mieszkanie-po-remoncie-tbs-zielna-ID44LOy.html#02f510e6c7
446500.0,8316.0,60585056,pierwotny,Psie Pole,53.69,3,2,1.0,https://www.otodom.pl/oferta/3-pokoje-z-duzym-balkonem-w-super-lokalizacji-ID46cVk.html#02f510e6c7
419000.0,7925.0,60586705,pierwotny,Krzyki,52.87,3,4,4.0,https://www.otodom.pl/oferta/3-pok-mieszkanie-z-systemem-inteligentnego-domu-ID46dmW.html#02f510e6c7
334593.0,6580.0,60585133,pierwotny,Krzyki,50.85,2,4,1.0,https://www.otodom.pl/oferta/komfortowe-2-pokoje-promocja-tylko-6580zl-m2-ID46cXz.html#02f510e6c7
470000.0,10643.0,60586649,wtorny,Śródmieście,44.16,2,4,,https://www.otodom.pl/oferta/jaracza-nowe-super-inwestycja-ID46dm1.html#02f510e6c7
318648.0,6800.0,60586706,pierwotny,dolnośląskie,46.86,2,,1.0,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-z-ogrodem-na-jagodnie-ID46dmV.html#02f510e6c7
529200.0,7350.0,60466730,wtorny,Fabryczna,72.0,3,2,,https://www.otodom.pl/oferta/mieszkanie-72m2-i-komorka-9m2-duzo-zieleni-ID45I9Q.html#02f510e6c7
417270.0,6937.0,60585168,pierwotny,Krzyki,60.15,3,5,2.0,https://www.otodom.pl/oferta/gotowe-3-pokoje-w-cenie-komorka-lokatorska-ID46cY8.html#02f510e6c7
366000.0,7673.0,60532358,wtorny,Psie Pole,47.7,2,,1.0,https://www.otodom.pl/oferta/mieszkanie-dwupokojowe-macedonska-wroclaw-rozanka-ID45Zem.html#02f510e6c7
417718.0,5890.0,60585127,pierwotny,Krzyki,70.92,3,4,1.0,https://www.otodom.pl/oferta/przemyslany-rozklad-w-atrakcyjnej-cenie-5890zl-m2-ID46cXt.html#02f510e6c7
425000.0,7589.0,60557118,wtorny,Śródmieście,56.0,2,7,1.0,https://www.otodom.pl/oferta/sprzedam-2-pokoje-komorka-winda-garaz-balkon-ID465FI.html#02f510e6c7
395000.0,7900.0,60544189,wtorny,Psie Pole,50.0,2,3,,https://www.otodom.pl/oferta/przestronne-2-pokoje-z-ogrodem-garaz-swojczyce-ID462jb.html#02f510e6c7
395000.0,7932.0,60313054,wtorny,Psie Pole,49.8,2,10,6.0,https://www.otodom.pl/oferta/doskonala-inwestycja-2-pokoje-rozanka-ID454bc.html#02f510e6c7
